id,channel,text,audio_file,audio_path
16,@caikinhdi_vn,"Sáng ngày 5 tháng 12 năm 2016, các sinh viên đi ra khỏi ký túc xá đến lớp.",audio_0016.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0016.wav
17,@cosu,Hai là ném quả trứng cho rời xuống.,audio_0017.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0017.wav
18,@jakinatsumi2915,Chào mừng các em đã trở về sau trò chơi đêm đầu tiên!,audio_0018.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0018.wav
19,@ntcanima,Nói phải lựa thời chứ mày!,audio_0019.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0019.wav
20,@BroNub,Nhưng mà vì thế mà đánh nhau tôi chả nhìn thấy cái gì cả.,audio_0020.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0020.wav
21,@HIEUROTRONG5PHUT-NTKT,"Nếu giới chức Ukraine nhìn thấy việc cuộc chiến này tiếp diễn sẽ có ảnh hưởng xấu đến mục tiêu tối tượng của họ, đó là tái chiếm lại nhiều lãnh thổ nhất có thể, thì đâu đó, tồn tại khả năng, Ukraine sẽ quyết định ngồi vào bàn đàm phán.",audio_0021.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0021.wav
22,@VoizFM,Tốt thật đấy nhỉ.,audio_0022.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0022.wav
23,@Nhantaidaiviet,Có đứng đấy làm gì!,audio_0023.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0023.wav
24,@Nhantaidaiviet,Mà cháu đi đâu đây.,audio_0024.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0024.wav
25,@Nhantaidaiviet,Tôi là tôi nói thật.,audio_0025.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0025.wav
26,@5PhutCrypto,Cái gì là cần thì phải mua.,audio_0026.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0026.wav
27,@truyenhinhgialai,Dự và chúc mừng Hội Doanh nhân trẻ tỉnh Gia Lai có các đồng chí.,audio_0027.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0027.wav
28,@TintucBitcoin247,"Sau khi đạt mức cao nhất hàng năm là 52.985 đô la vào ngày 20 tháng 2, giá Bitcoin hiện đã giảm 5% xuống mức thấp hàng tuần mới là 50.600 đô la vào ngày 23 tháng 2.",audio_0028.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0028.wav
29,@W2WAnime,"Trong bài phỏng vấn với The Hollywood Reporter, đạo diễn Shinkai Makoto từng chia sẻ.",audio_0029.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0029.wav
30,@5PhutCrypto,"Nhưng mà giờ đây người dùng có thể thanh toán bằng các loại tiền khác, tiện lợi hơn rất là nhiều.",audio_0030.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0030.wav
31,@PhePhim,"Thời gian này, Hoàng Thượng chịu sự thúc ép của Thái Hậu nên đã đồng ý tuyển thêm Tú Nữ vào hậu cung.",audio_0031.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0031.wav
32,@VoizFM,Tôi không biết tại sao hắn ta lại nhắm vào tôi.,audio_0032.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0032.wav
33,@FonosVietnam,"Và như mọi nhà khoa học tài năng khác, ông luôn tò mò, tò mò đến nỗi không ngại đặt ra câu hỏi khó và tự tìm kiếm câu trả lời dựa trên những gì trông thấy.",audio_0033.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0033.wav
34,@Spiderum,Nhãn hiệu Buick của GM đã mạnh tay chi tiền thuê Tiger Woods làm hình ảnh đại diện cho thương hiệu của mình.,audio_0034.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0034.wav
35,@caikinhdi_vn,"Cảm nhận được điều bí ẩn, cảnh sát lập tức leo lên cầu thang và dừng lại trước căn gác bốc mùi.",audio_0035.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0035.wav
36,@VoizFM,Thậm chí còn giỏi hơn.,audio_0036.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0036.wav
37,@FonosVietnam,"Không nhất thiết phải là tiền, mà đôi khi để chúng đổi bằng sức lao động, chẳng hạn như đấm lưng cho tôi, giúp tôi rót trà, rót nước, tưới hoa.",audio_0037.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0037.wav
38,@SachBiQuyetThanhCong,Mặc kệ mọi người khuyên ngăn nhưng chàng trai vẫn nhất định tìm đến cái chết.,audio_0038.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0038.wav
39,@tamhonanuong,Không chỉ nói chuyện ngoài đời.,audio_0039.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0039.wav
40,@baihoc10phut,Cho chúng ta.,audio_0040.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0040.wav
41,@FonosVietnam,Điều này đồng nghĩa với việc người mua sẽ tìm tới những đại lý có nguồn hàng phong phú và hấp dẫn hơn để thỏa mãn hưu cầu.,audio_0041.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0041.wav
42,@hieu-tv,"Trước khi bắt đầu, dành cho anh chị nào mới lần đầu đến podcast này, thì đây là nơi mà tôi chia sẻ về chủ yếu hai mảng nội dung chính, đó là các kỹ năng quản lý tài chính cá nhân, và thứ hai là những kinh nghiệm sống mà tôi đã tích lý được.",audio_0042.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0042.wav
43,@TULEMIENTAY,Đảm bảo với các bạn phần chè sẽ rất là ngon.,audio_0043.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0043.wav
44,@HIEUROTRONG5PHUT-NTKT,Chỉ có một video ở đây với nội dung là quân đội Nga đánh bom vào các nhà tù lân cận khu định cư. Nhưng trùng quy thì chúng ta không có gì đặc biệt.,audio_0044.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0044.wav
45,@VoizFM,Hãy từ bỏ thói quen lo lắng trước khi nó làm hại chúng ta.,audio_0045.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0045.wav
46,@VuTruNguyenThuy,Từ những ngày còn bé bà đã bị thiểu năng trí tuệ nên luôn gặp phải rất nhiều khó khăn trong việc học đọc và viết.,audio_0046.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0046.wav
47,@FonosVietnam,Vậy bây giờ sư ông đâu?,audio_0047.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0047.wav
48,@duongfg,"Không sao, những nơi đấy dần dần cũng sẽ dính hết thôi.",audio_0048.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0048.wav
49,@W2WHorror,Cả nhóm hiểu cảnh sát trưởng đã hy sinh cùng với lũ ăn thịt người ghê rợn kìa.,audio_0049.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0049.wav
50,@SUCKHOETAMSINH,Đây mình dùng một gói sườn chay đây là 100g.,audio_0050.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0050.wav
51,@PhePhim,"Vậy nên, anh đã thuyết phục người bạn thân mở hãng luật riêng để đấu tranh cho những người dân bình thường.",audio_0051.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0051.wav
52,@duythanhish,"Lật ngược lại vấn đề một chút, thì thế nào được gọi là tư duy không phản biện?",audio_0052.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0052.wav
53,@AnhBanThan,Và bây giờ thì mình sẽ tạm để lại cái tổ kiến ở đây.,audio_0053.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0053.wav
54,@Web5Ngay,Những cái câu mà mọi người sử dụng trong đời sống nhiều á.,audio_0054.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0054.wav
55,@chanthienmybachnien,"Một cái hoạt động mà chúng ta rất hay làm hằng ngày, đặc biệt là trong bữa ăn, đó chính là nhai.",audio_0055.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0055.wav
56,@TheGioiLaptop,"Và trong cái tầm giá là 2-3 triệu thì mình cảm thấy là cái thiết kế của con màn hình này đã được hoàn thiện rất là tốt và cái phần chất build nè, phong cách thiết kế thì hiện đại và tối giản cùng với một cái tàu màu đen nhìn cực kỳ sang trọng ha.",audio_0056.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0056.wav
57,@AnimeRewind.Official,"Shuichi chạy lại chấn tính mẹ mình, nhưng mọi thứ chỉ tồi tệ hơn.",audio_0057.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0057.wav
58,@KienThucQuanSu,"Trung Quốc thì sử dụng các biện pháp tinh vi hơn, phối hợp cùng thâm nhập kinh tế, nên không phải hứng chịu những thất bại đau đớn, nhưng kết quả lại không mấy rõ ràng.",audio_0058.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0058.wav
59,@chanthienmybachnien,Sinh ra 90% ở đường ruột.,audio_0059.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0059.wav
60,@Vietcetera,Sẽ quan sát người này lớn lên nè.,audio_0060.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0060.wav
61,@FonosVietnam,"Bởi vì, như Robert Greene đã viết ở phần đầu sách, càng ít sợ, bạn càng có nhiều sức mạnh hơn và sống trọn vẹn hơn.",audio_0061.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0061.wav
62,@MensBay,"Có, nó có liên hệ với sự quý tộc.",audio_0062.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0062.wav
63,@daylaphegame,Nghĩ thôi là thấy thốn rồi.,audio_0063.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0063.wav
64,@Nhantaidaiviet,Đúng đấy cô Bẹo.,audio_0064.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0064.wav
65,@cosu,Nó cùng nhiều con mèo khác đã tồn tại và thích nghi ở cuộc sống thế giới này.,audio_0065.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0065.wav
66,@TruyenhinhKhanhHoa,"Bên cạnh những người đồng đội, không khí đón xuân mới tùy có chút hương vị khác với ở đất liền, nhưng lại ấm tình đồng chí, giúp những người lính trẻ thêm can trường, ra sức giữ gìn biển đảo quê hương.",audio_0066.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0066.wav
67,@duyluandethuong,"Nhưng mà tại vì trong sự kiện á, thì mình bận, mình không có rút ra rút vô thường xuyên được á, cho nên là mình cứ để nguyên vậy thôi.",audio_0067.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0067.wav
68,@PhanTichGame,"Nhưng lúc này, cô bé chẳng còn gì ngoài cho cốt.",audio_0068.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0068.wav
69,@VoizFM,Lúc đó biết đâu mình chưa kịp chuẩn bị gì.,audio_0069.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0069.wav
70,@nguoithanhcong1991,"Tại X, mọi chuyện còn tệ hơn khi những sai lầm của Elon Musk khiến các đối tác phải bỏ chạy khỏi nền tảng này.",audio_0070.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0070.wav
71,@VoizFM,Anh ta chỉ đơn giản là bị mất kẹt.,audio_0071.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0071.wav
72,@AnimeRewind.Official,"Bằng cách đó, mạng sống của hầu hết mọi người đã được đảm bảo.",audio_0072.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0072.wav
73,@AnimeRewind.Official,"Chú thật sư được sinh ra vào thời đại Yayoi, vào thế kỷ thứ 2 sau Công Nguyên.",audio_0073.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0073.wav
74,@blogkhoinghiep,Cảm ơn các bạn đã theo dõi video này của blog khởi nghiệp.,audio_0074.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0074.wav
75,@FonosVietnam,"Khó lòng nghĩ đến chuyện ông có đủ ngựa để tết được một giải cờ thiên, chứ đừng nói là còn theo giải cờ đó đi khắp thế giới.",audio_0075.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0075.wav
76,@FonosVietnam,Chỉ đơn thuần là trạng thái cầu nguyện mà thôi.,audio_0076.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0076.wav
77,@Web5Ngay,"Này tôi nói thiệt, tất cả những điều hay hoa trên đời này, nó cần sự rèn luyện hết.",audio_0077.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0077.wav
78,@FonosVietnam,Có rất nhiều cách để bạn đạt được mục tiêu hiểu biết về con người mà không cần họ có mặt ngay lúc đó.,audio_0078.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0078.wav
79,@BoringPPL,"Tiếp theo, hãy truy cập dữ liệu của mỗi cột trong sheet này bằng function.",audio_0079.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0079.wav
80,@blogkhoinghiep,"Tuy nhiên, việc mở quán cháo dinh dưỡng không chỉ đòi hỏi kiến thức về ẩm thực, mà còn đòi hỏi về nguồn vốn đầu tư khá khá.",audio_0080.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0080.wav
81,@hoshiphan,Nó không có bị dính.,audio_0081.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0081.wav
82,@duongfg,Nó lao xuống.,audio_0082.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0082.wav
83,@PhePhim,Vậy vì sao câu chuyện này lại phân cực đến thế?,audio_0083.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0083.wav
84,@FonosVietnam,Đây là thế giới mới.,audio_0084.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0084.wav
85,@VoizFM,Tại sao ngươi không sợ hãi?,audio_0085.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0085.wav
86,@truyenhinhvinhphuc,"Đến ngày 15 tháng 2, đã có một khách hàng tại thành phố Vĩnh Yên đến công ty trách nhiệm hữu hạn một thành viên sổ số kiên thiết Vĩnh Phúc đăng ký lĩnh thưởng 10 vẽ với tổng giá trị là 3 tỷ 350 triệu đồng.",audio_0086.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0086.wav
87,@SukiesKitchen,Bánh mochi nhân kem lạnh thì mình có thể để ngăn đá trong 2 tháng.,audio_0087.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0087.wav
88,@CDTeam-Why,"The Pirates bày địch thành lập vào năm 2003 và làm nhức nhối những hãng thu âm như Sony, Warner, Universal tại đây.",audio_0088.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0088.wav
89,@KienThucQuanSu,"Thật khó để hiểu được tại sao người anh hùng dân tộc của Pháp trong thế chiến thứ nhất, người đã giành chiến thắng trong trận vừa đàn, này lại chịu khuất phục trước Hitler.",audio_0089.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0089.wav
90,@BroNub,Để đủ giường chúng tôi đã làm thêm một cái nữa ở tầng trên cùng.,audio_0090.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0090.wav
91,@aiphatthanhvatruyenhinhhai1908,Hội thi truyền thống và dân tộc thời mạc là lễ hội dân gian đặc sản.,audio_0091.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0091.wav
92,@FPTBongDaOfficial,Haywood.,audio_0092.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0092.wav
93,@Vietcetera,Tại vì ngày xưa em kiểu đi diễn underground ấy.,audio_0093.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0093.wav
94,@haiduongtv247,"Ở những vùng vải xuất khẩu, nông dân tuân thú nghiêm quy trình sản xuất sạch đã được hướng dẫn, mục đích nâng cao chất lượng mẫu mã cho sản phẩm vải quả.",audio_0094.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0094.wav
95,@VuTruNguyenThuy,Đó là bắt một tù binh quan trọng rồi bóp cổ cho đến chết.,audio_0095.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0095.wav
96,@visaothenhipodcast,"Người khen cũng cười, người chê cũng cười.",audio_0096.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0096.wav
97,@Spiderum,"Gần đây, tôi có trò chuyện với một người bạn và nghe được câu chuyện này.",audio_0097.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0097.wav
98,@VoizFM,Xong.,audio_0098.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0098.wav
99,@TruyenhinhDakNong1,Tây các hoàn cảnh khó khăn trước dịp Tết đến xuân về.,audio_0099.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0099.wav
100,@TruyenhinhNaminhNTV,"Nhân dịp này, nhiều tập thể cá nhân đã tặng tiền trang thiết bị y tế cho đoàn cán bộ, giảng viên, sinh viên trường đại học điều dưỡng Nam Định, tình nguyện lên đường hỗ trợ công tác phòng chống dịch COVID-19 tại tỉnh Bắc Giang.",audio_0100.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0100.wav
101,@VoizFM,Thất bại là điều không thể tránh khỏi.,audio_0101.wav,D:\Projects\Vietnamese-Audio-Deepfake-Detection.worktrees\agents-project-review-report-writing\vispoofdb\data\raw\real\audio_0101.wav
